name,name_simple,name_arabic,revelation_order,revelation_place,verses_count,bismillah_pre
Al-Fātiĥah,Al-Fatihah,الفاتحة,"5",makkah,"7","0"
Al-Baqarah,Al-Baqarah,البقرة,"87",madinah,"286","1"
Āli `Imrān,Ali 'Imran,آل عمران,"89",madinah,"200","1"
An-Nisā,An-Nisa,النساء,"92",madinah,"176","1"
Al-Mā'idah,Al-Ma'idah,المائدة,"112",madinah,"120","1"
Al-'An`ām,Al-An'am,الأنعام,"55",makkah,"165","1"
Al-'A`rāf,Al-A'raf,الأعراف,"39",makkah,"206","1"
Al-'Anfāl,Al-Anfal,الأنفال,"88",madinah,"75","1"
At-Tawbah,At-Tawbah,التوبة,"113",madinah,"129","0"
Yūnus,Yunus,يونس,"51",makkah,"109","1"
Hūd,Hud,هود,"52",makkah,"123","1"
Yūsuf,Yusuf,يوسف,"53",makkah,"111","1"
Ar-Ra`d,Ar-Ra'd,الرعد,"96",madinah,"43","1"
Ibrāhīm,Ibrahim,ابراهيم,"72",makkah,"52","1"
Al-Ĥijr,Al-Hijr,الحجر,"54",makkah,"99","1"
An-Naĥl,An-Nahl,النحل,"70",makkah,"128","1"
Al-'Isrā,Al-Isra,الإسراء,"50",makkah,"111","1"
Al-Kahf,Al-Kahf,الكهف,"69",makkah,"110","1"
Maryam,Maryam,مريم,"44",makkah,"98","1"
Ţāhā,Taha,طه,"45",makkah,"135","1"
Al-'Anbyā,Al-Anbya,الأنبياء,"73",makkah,"112","1"
Al-Ĥajj,Al-Hajj,الحج,"103",madinah,"78","1"
Al-Mu'minūn,Al-Mu'minun,المؤمنون,"74",makkah,"118","1"
An-Nūr,An-Nur,النور,"102",madinah,"64","1"
Al-Furqān,Al-Furqan,الفرقان,"42",makkah,"77","1"
Ash-Shu`arā,Ash-Shu'ara,الشعراء,"47",makkah,"227","1"
An-Naml,An-Naml,النمل,"48",makkah,"93","1"
Al-Qaşaş,Al-Qasas,القصص,"49",makkah,"88","1"
Al-`Ankabūt,Al-'Ankabut,العنكبوت,"85",makkah,"69","1"
Ar-Rūm,Ar-Rum,الروم,"84",makkah,"60","1"
Luqmān,Luqman,لقمان,"57",makkah,"34","1"
As-Sajdah,As-Sajdah,السجدة,"75",makkah,"30","1"
Al-'Aĥzāb,Al-Ahzab,الأحزاب,"90",madinah,"73","1"
Saba,Saba,سبإ,"58",makkah,"54","1"
Fāţir,Fatir,فاطر,"43",makkah,"45","1"
Yā-Sīn,Ya-Sin,يس,"41",makkah,"83","1"
Aş-Şāffāt,As-Saffat,الصافات,"56",makkah,"182","1"
Şād,Sad,ص,"38",makkah,"88","1"
Az-Zumar,Az-Zumar,الزمر,"59",makkah,"75","1"
Ghāfir,Ghafir,غافر,"60",makkah,"85","1"
Fuşşilat,Fussilat,فصلت,"61",makkah,"54","1"
Ash-Shūraá,Ash-Shuraa,الشورى,"62",makkah,"53","1"
Az-Zukhruf,Az-Zukhruf,الزخرف,"63",makkah,"89","1"
Ad-Dukhān,Ad-Dukhan,الدخان,"64",makkah,"59","1"
Al-Jāthiyah,Al-Jathiyah,الجاثية,"65",makkah,"37","1"
Al-'Aĥqāf,Al-Ahqaf,الأحقاف,"66",makkah,"35","1"
Muĥammad,Muhammad,محمد,"95",madinah,"38","1"
Al-Fatĥ,Al-Fath,الفتح,"111",madinah,"29","1"
Al-Ĥujurāt,Al-Hujurat,الحجرات,"106",madinah,"18","1"
Qāf,Qaf,ق,"34",makkah,"45","1"
