"page_number","line_number","line_type","is_centered","first_word_id","last_word_id","surah_number"
"1","1","surah_name","1","","","1"
"1","2","ayah","1","1","5",""
"1","3","ayah","1","6","10",""
"1","4","ayah","1","11","17",""
"1","5","ayah","1","18","23",""
"1","6","ayah","1","24","29",""
"1","7","ayah","1","30","33",""
"1","8","ayah","1","34","36",""
"2","1","surah_name","1","","","2"
"2","2","basmallah","1","","",""
"2","3","ayah","1","37","44",""
"2","4","ayah","1","45","51",""
"2","5","ayah","1","52","59",""
"2","6","ayah","1","60","68",""
"2","7","ayah","1","69","74",""
"2","8","ayah","1","75","77",""
"3","1","ayah","0","78","86",""
"3","2","ayah","0","87","96",""
"3","3","ayah","0","97","104",""
"3","4","ayah","0","105","114",""
"3","5","ayah","0","115","122",""
"3","6","ayah","0","123","131",""
"3","7","ayah","0","132","141",""
"3","8","ayah","0","142","152",""
"3","9","ayah","0","153","161",""
"3","10","ayah","0","162","170",""
"3","11","ayah","0","171","180",""
"3","12","ayah","0","181","190",""
"3","13","ayah","0","191","199",""
"3","14","ayah","0","200","207",""
"3","15","ayah","0","208","215",""
"4","1","ayah","0","216","224",""
"4","2","ayah","0","225","234",""
"4","3","ayah","0","235","245",""
"4","4","ayah","0","246","253",""
"4","5","ayah","0","254","262",""
"4","6","ayah","0","263","272",""
"4","7","ayah","0","273","282",""
"4","8","ayah","0","283","291",""
"4","9","ayah","0","292","301",""
"4","10","ayah","0","302","310",""
"4","11","ayah","0","311","320",""
"4","12","ayah","0","321","331",""
"4","13","ayah","0","332","340",""
"4","14","ayah","0","341","350",""
"4","15","ayah","0","351","357",""
"5","1","ayah","0","358","365",""
"5","2","ayah","0","366","374",""
"5","3","ayah","0","375","384",""
"5","4","ayah","0","385","393",""
"5","5","ayah","0","394","404",""
"5","6","ayah","0","405","412",""
"5","7","ayah","0","413","420",""
"5","8","ayah","0","421","429",""
"5","9","ayah","0","430","438",""
"5","10","ayah","0","439","447",""
"5","11","ayah","0","448","454",""
"5","12","ayah","0","455","461",""
"5","13","ayah","0","462","470",""
"5","14","ayah","0","471","479",""
"5","15","ayah","0","480","487",""
"6","1","ayah","0","488","497",""
"6","2","ayah","0","498","506",""
"6","3","ayah","0","507","517",""
"6","4","ayah","0","518","525",""
"6","5","ayah","0","526","534",""
"6","6","ayah","0","535","547",""
"6","7","ayah","0","548","555",""
"6","8","ayah","0","556","564",""
"6","9","ayah","0","565","573",""
"6","10","ayah","0","574","583",""
"6","11","ayah","0","584","592",""
"6","12","ayah","0","593","602",""
"6","13","ayah","0","603","611",""
"6","14","ayah","0","612","622",""
"6","15","ayah","0","623","633",""
"7","1","ayah","0","634","643",""
"7","2","ayah","0","644","653",""
"7","3","ayah","0","654","662",""
"7","4","ayah","0","663","671",""
"7","5","ayah","0","672","680",""
"7","6","ayah","0","681","690",""
"7","7","ayah","0","691","700",""
"7","8","ayah","0","701","708",""
"7","9","ayah","0","709","715",""
"7","10","ayah","0","716","723",""
"7","11","ayah","0","724","731",""
